rank,id,street,district,heat_pixel,nearest_counter,distance_m,heat_score,proximity_score,signal
86,vbx_58462,,QUARTIER ROYAL,55.0,CB1101,362.4,10.811,76.54,37.103
87,vbx_58488,Rue Royale 70,QUARTIER ROYAL,56.0,CB1101,437.0,13.514,71.6,36.748
88,vbx_58411,Rue des Faînes 153,HEEMBEEK,73.0,CB02411,1499.7,59.459,1.232,36.168
89,vbx_58466,,QUARTIER ROYAL,54.0,CB1101,352.9,8.108,77.169,35.732
90,vbx_58502,,QUARTIER ROYAL,53.0,CB1101,327.0,5.405,78.884,34.797
91,vbx_58539,,QUARTIER ROYAL,53.0,CB1101,355.4,5.405,77.003,34.044
92,vbx_58485,,QUARTIER ROYAL,54.0,CB1101,425.7,8.108,72.348,33.804
93,vbx_58471,,QUARTIER ROYAL,54.0,CB1101,438.6,8.108,71.494,33.462
94,vbx_58503,,QUARTIER ROYAL,52.0,CB1101,319.1,2.703,79.407,33.385
95,vbx_58517,,QUARTIER ROYAL,55.0,CB1101,505.9,10.811,67.037,33.301
96,vbx_58519,,QUARTIER ROYAL,54.0,CB1101,453.2,8.108,70.527,33.076
97,vbx_58518,,QUARTIER ROYAL,54.0,CB1101,460.9,8.108,70.017,32.872
98,vbx_58544,,QUARTIER ROYAL,51.0,CB1101,374.0,0.0,75.771,30.308
99,vbx_58583,,QUARTIER ROYAL,52.0,CB1101,458.2,2.703,70.196,29.7
100,vbx_58589,Rue du Rubis 3,HEYSEL,59.0,CJE181,1498.2,21.622,1.331,13.506
